Topics,Alpha,Beta,Coherence
2,0.01,0.01,0.6797313158672502
2,0.01,0.51,0.724913676444237
2,0.01,symmetric,0.7097879959481532
2,0.51,0.01,0.7003629985130408
2,0.51,0.51,0.7188063334869608
2,0.51,symmetric,0.7193877062170181
2,symmetric,0.01,0.6784908293562577
2,symmetric,0.51,0.7185753586359493
2,symmetric,symmetric,0.7178324290286837
2,asymmetric,0.01,0.7209686921159177
2,asymmetric,0.51,0.7257080759895853
2,asymmetric,symmetric,0.7206750466309026
4,0.01,0.01,0.6303865107141162
4,0.01,0.51,0.5356276909309433
4,0.01,symmetric,0.5789958677241726
4,0.51,0.01,0.6875367376724274
4,0.51,0.51,0.6336001633943625
4,0.51,symmetric,0.6226138794860523
4,symmetric,0.01,0.6807886333494982
4,symmetric,0.51,0.5865922371563812
4,symmetric,symmetric,0.6021756860232726
4,asymmetric,0.01,0.6570374115073825
4,asymmetric,0.51,0.5685914362340054
4,asymmetric,symmetric,0.6012752105854753
6,0.01,0.01,0.6297322538646424
6,0.01,0.51,0.5853743122353704
6,0.01,symmetric,0.5444182943073796
6,0.51,0.01,0.6530730435557274
6,0.51,0.51,0.5758759378051009
6,0.51,symmetric,0.6695301145394891
6,symmetric,0.01,0.656910193716666
6,symmetric,0.51,0.5171910710408252
6,symmetric,symmetric,0.5456375584296506
6,asymmetric,0.01,0.6226957928569169
6,asymmetric,0.51,0.5930699825879662
6,asymmetric,symmetric,0.5917788500672096
8,0.01,0.01,0.6107354442151844
8,0.01,0.51,0.5391501544246295
8,0.01,symmetric,0.5203840607422887
8,0.51,0.01,0.6501016046056385
8,0.51,0.51,0.5240580128488299
8,0.51,symmetric,0.6609293953401938
8,symmetric,0.01,0.6358855583011425
8,symmetric,0.51,0.48712654837759284
8,symmetric,symmetric,0.5602582656184115
8,asymmetric,0.01,0.6253771936095195
8,asymmetric,0.51,0.5543319148829184
8,asymmetric,symmetric,0.5043526405025692
